num_orders,rolling_mean
124,
85,
71,
66,
43,
6,
12,
15,
34,
69,
64,
96,57.083333333333336
30,49.25
32,44.833333333333336
48,42.916666666666664
66,42.916666666666664
43,42.916666666666664
44,46.083333333333336
73,51.166666666666664
45,53.666666666666664
61,55.916666666666664
66,55.666666666666664
113,59.75
58,56.583333333333336
90,61.583333333333336
120,68.91666666666667
75,71.16666666666667
64,71.0
20,69.08333333333333
11,66.33333333333333
11,61.166666666666664
7,58.0
46,56.75
45,55.0
54,50.083333333333336
91,52.833333333333336
36,48.333333333333336
45,42.083333333333336
44,39.5
59,39.083333333333336
82,44.25
83,50.25
89,56.75
49,60.25
93,64.16666666666667
101,68.83333333333333
119,74.25
72,72.66666666666667
163,83.25
108,88.5
25,86.91666666666667
64,87.33333333333333
44,84.16666666666667
15,78.5
9,71.83333333333333
17,69.16666666666667
56,66.08333333333333
73,63.75
52,58.166666666666664
57,56.916666666666664
32,46.0
28,39.333333333333336
41,40.666666666666664
76,41.666666666666664
46,41.833333333333336
49,44.666666666666664
68,49.583333333333336
30,50.666666666666664
83,52.916666666666664
48,50.833333333333336
63,51.75
43,50.583333333333336
75,54.166666666666664
60,56.833333333333336
26,55.583333333333336
42,52.75
27,51.166666666666664
22,48.916666666666664
11,44.166666666666664
12,42.666666666666664
39,39.0
39,38.25
19,34.583333333333336
41,34.416666666666664
30,30.666666666666668
30,28.166666666666668
56,30.666666666666668
58,32.0
64,35.083333333333336
51,37.5
80,43.25
56,46.916666666666664
77,50.083333333333336
75,53.083333333333336
83,58.416666666666664
68,60.666666666666664
86,65.33333333333333
176,77.5
32,75.5
51,74.91666666666667
34,72.41666666666667
16,69.5
3,63.083333333333336
14,59.583333333333336
31,55.75
59,54.416666666666664
50,51.666666666666664
62,51.166666666666664
85,51.083333333333336
37,39.5
58,41.666666666666664
45,41.166666666666664
59,43.25
37,45.0
86,51.916666666666664
37,53.833333333333336
40,54.583333333333336
42,53.166666666666664
72,55.0
47,53.75
42,50.166666666666664
75,53.333333333333336
36,51.5
49,51.833333333333336
30,49.416666666666664
36,49.333333333333336
7,42.75
10,40.5
25,39.25
52,40.083333333333336
51,38.333333333333336
48,38.416666666666664
41,38.333333333333336
42,35.583333333333336
40,35.916666666666664
63,37.083333333333336
42,38.083333333333336
52,39.416666666666664
51,43.083333333333336
48,46.25
83,51.083333333333336
58,51.583333333333336
81,54.083333333333336
47,54.0
100,58.916666666666664
121,65.5
24,64.16666666666667
66,64.41666666666667
73,67.0
10,63.5
19,60.833333333333336
17,58.25
38,54.5
50,53.833333333333336
34,49.916666666666664
58,50.833333333333336
34,45.333333333333336
55,39.833333333333336
43,41.416666666666664
51,40.166666666666664
46,37.916666666666664
48,41.083333333333336
99,47.75
50,50.5
76,53.666666666666664
108,58.5
127,66.25
94,69.25
143,78.33333333333333
78,80.25
65,82.08333333333333
68,83.5
60,84.66666666666667
6,81.16666666666667
6,73.41666666666667
19,70.83333333333333
77,70.91666666666667
97,70.0
68,65.08333333333333
80,63.916666666666664
48,56.0
47,53.416666666666664
